ID,Organization,Organization Type,Training Date,Address,City,State,Zip Code,Longitude,Latitude,Number Trained,Project Type,Taining Topic
,Spencer County Senior Citizen Center,Senior Center,8/13/2024,6729 Martel Lane.,Taylorsville,KY,37920,-83.93620582,35.88957128,12,,Cybersecurity
,Harrison County Senior Citizen Center,Senior Center,8/14/2024,216 Old Laird Road,Cynthiana,KY,41031,-84.28944042,38.38487953,14,,Email Basics
,Harrison County Senior Citizen Center,Senior Center,8/14/2024,216 Old Laird Road,Cynthiana,KY,41031,-84.28944042,38.38487953,14,,Cybersecurity
,Casey County Senior Citizen Center,Senior Center,8/15/2024,85 Beldon Ave,Liberty,KY,42539,-84.93975291,37.3162419,22,,Cybersecurity
,Casey County Senior Citizen Center,Senior Center,8/15/2024,85 Beldon Ave,Liberty,KY,42539,-84.93975291,37.3162419,22,,Mobile Device Basics (iOS)
,Revived Essence Recovery Center,Rehabilitation Center,8/16/2024,3620 Flemingsburg Road,Morehead,KY,40351,-83.47944716,38.21407407,6,,Internet Basics
,Revived Essence Recovery Center,Rehabilitation Center,8/16/2024,3620 Flemingsburg Road,Morehead,KY,40351,-83.47944716,38.21407407,6,,Cybersecurity
,Recovery Plus Treatment,Rehabilitation Center,8/17/2024,336 E Center St,Madisonville,KY,42431,-87.49282905,37.32756338,23,,Cybersecurity
,A Gathering Place,Community Center,8/19/2024,569 Jean Drive,Danville,KY,40422,-84.78257846,37.6253144,15,,Internet Basics
,A Gathering Place,Community Center,8/19/2024,569 Jean Drive,Danville,KY,40422,-84.78257846,37.6253144,15,,Email Basics
,Lawton Public Library,Public Library,8/20/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,25,,Computer Basics Windows 10
,Lawton Public Library,Public Library,8/20/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,23,,Internet Basics
,Lawton Public Library,Public Library,8/20/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,23,,Email Basics
,Lawton Public Library,Public Library,8/20/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,20,,Cybersecurity
,Fuse Medical Clinic,Non-Profit,8/20/2024,202 W 7th St STE 110,London,KY,40741,-84.08549011,37.12928636,7,,Internet Basics
,Fuse Medical Clinic,Non-Profit,8/20/2024,202 W 7th St STE 110,London,KY,40741,-84.08549011,37.12928636,7,,Cybersecurity
,Recovery Works Ridge,Rehabilitation Center,8/20/2024,300 Carrera Drive,London,KY,40741,-84.12526484,37.14600671,24,,Internet Basics
,Recovery Works Ridge,Rehabilitation Center,8/20/2024,300 Carrera Drive,London,KY,40741,-84.12526484,37.14600671,24,,Cybersecurity
,Bath County Senior Citizen Center,Non-Profit,8/21/2024,81 A Water Street ,Owingsville,KY,40360,-83.7629269,38.14604357,20,,Cybersecurity
,Bath County Senior Citizen Center,Non-Profit,8/21/2024,81 A Water Street ,Owingsville,KY,40360,-83.7629269,38.14604357,20,,Mobile Device Basics (iOS)
,Lawton Public Library,Public Library,8/21/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,10,,Mobile Device Basics (iOS)
,Lawton Public Library,Public Library,8/21/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,25,,Video Conferencing
,Lawton Public Library,Public Library,8/21/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,20,,Cybersecurity
,Lawton Public Library,Public Library,8/21/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,4,,Open Lab Workshops
,Chickasha Public Library,Public Library,8/22/2024,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,9,,Computer Basics Windows 10
,Chickasha Public Library,Public Library,8/22/2024,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,8,,Internet Basics
,Chickasha Public Library,Public Library,8/22/2024,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,5,,Email Basics
,Chickasha Public Library,Public Library,8/22/2024,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,5,,Cybersecurity
,Lawton Public Library,Public Library,8/22/2024,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,15,,Mobile Device Basics (Android)
,Chickasha Public Library,Public Library,8/23/2024,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,5,,Mobile Device Basics (iOS)
,Chickasha Public Library,Public Library,8/23/2024,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,7,,Video Conferencing
,Chickasha Public Library,Public Library,8/23/2024,527 W. Iowa Ave.,Chickasha,OK,73018,-97.93928517,35.04757412,5,,Open Lab Workshops
,Sevierville County Senior Citizen Center,Senior Center,8/23/2024,1200 W Main Street,Sevierville,TN,37862,-83.5940867,35.87191237,19,,Internet Basics
,Sevierville County Senior Citizen Center,Senior Center,8/23/2024,1200 W Main Street,Sevierville,TN,37862,-83.5940867,35.87191237,19,,Cybersecurity
,Jessamine County Senior Citizen Center,Senior Center,8/26/2024,111 Hoover Dr,Nicholasville,KY,40356,-84.58637471,37.88458196,19,,Internet Basics
,Jessamine County Senior Citizen Center,Senior Center,8/26/2024,111 Hoover Dr,Nicholasville,KY,40356,-84.58637471,37.88458196,19,,Mobile Device Basics (iOS)
,International Center of KY,Non-Profit,8/27/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,10,,Computer Basics Windows 10
,International Center of KY,Non-Profit,8/27/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,9,,Internet Basics
,International Center of KY,Non-Profit,8/27/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,8,,Email Basics
,International Center of KY,Non-Profit,8/27/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,8,,Cybersecurity
,International Center of KY,Non-Profit,8/27/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,1,,Open Lab Workshops
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,20,,Internet Basics
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,20,,Cybersecurity
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,20,,Internet Basics
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,20,,Cybersecurity
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,20,,Internet Basics
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,20,,Cybersecurity
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,15,,Internet Basics
,Hands and Feet Ministry,Place of Worship,8/28/2024,6099 Hwy 421,Gray Hawk,KY,40434,-83.93782151,37.39382916,15,,Cybersecurity
,International Center of KY,Non-Profit,8/28/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,3,,Mobile Device Basics (iOS)
,International Center of KY,Non-Profit,8/28/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,7,,Mobile Device Basics (Android)
,International Center of KY,Non-Profit,8/28/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,10,,Video Conferencing
,Some Like Anderson,Non-Profit,8/28/2024,181 Highway 290,McKee,KY,79925,-106.3840653,31.78115684,7,,Email Basics
,Some Like Anderson,Non-Profit,8/28/2024,181 Highway 290,McKee,KY,79925,-106.3840653,31.78115684,7,,Cybersecurity
,Greenup County Senior Citizen Center,Senior Center,8/29/2024,614 Main Street,Greenup,KY,41144,-82.83457756,38.57640954,9,,Cybersecurity
,Greenup County Senior Citizen Center,Senior Center,8/29/2024,614 Main Street,Greenup,KY,41144,-82.83457756,38.57640954,9,,Mobile Device Basics (iOS)
,International Center of KY,Non-Profit,8/29/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,6,,Computer Basics Windows 10
,International Center of KY,Non-Profit,8/29/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,6,,Internet Basics
,International Center of KY,Non-Profit,8/29/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,6,,Email Basics
,International Center of KY,Non-Profit,8/30/2024,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,4,,Mobile Device Basics (iOS)
