"2668","Knox County","Government","2022-05-01","100 N Main St","Benjamin","TX","79505","-99.7925773","33.5838802","0","undefined"
"2669","Lampasas County","Government","2021-06-01","501 E 4th St","Lampasas","TX","76550","-98.17790009","31.06507665","0","undefined"
"2670","Lavaca County","Government","2021-07-01","109 N La Grange Street","Hallettsville","TX","77964","-96.94249592","29.44514658","0","undefined"
"2671","Liberty County","Government","2021-08-01","1923 Sam Houston Street","Liberty","TX","77575","-94.79644213","30.05878089","0","undefined"
"2672","Llano County","Government","2021-09-01","2001 N Texas Highway 16","Llano","TX","78643","-98.67027312","30.77169981","0","undefined"
"2673","Maverick County","Government ","2022-10-01","500 E San Antonio Street","Eagle Pass","TX","78852","-100.3164346","28.51804595","0","undefined"
"2674","Milam County","Government","2021-11-01","102 S Fannin Avenue","Cameron","TX","76520","-96.97578129","30.84961806","0","undefined"
"2675","Morris County","Government","2021-12-01","500 W 1st Street","Daingerfield","TX","75638","-94.63683924","32.99935809","0","undefined"
"2676","Nacogdoches County","Government","2021-01-01","101 W Main St","Nacogdoches","TX","75961","-94.65637063","31.60406512","0","undefined"
"2677","Newton County","Government","2021-02-01","112 W Court Street","Newton","TX","75966","-93.76164832","30.84816573","0","undefined"
"2678","Orange County","Government","2022-03-01","123 S 6th St","Orange","TX","77630","-93.73520232","30.09010758","0","undefined"
"2679","Presidio County","Government","2021-04-01","300 N Highland Ave","Marfa","TX","79843","-104.0212341","30.31322569","0","undefined"
"2680","Rains County","Government","2021-05-01","200 W Kaufman St","Emory","TX","75440","-95.7330559","32.891494","0","undefined"
"2681","Red River County","Government","2022-06-01","100 N Walnut St","Clarksville","TX","75426","-95.05063231","33.61113338","0","undefined"
"2682","Refugio County","Government","2021-07-01","808 Commerce Street","Refugio","TX","78377","-97.27556048","28.29658843","0","undefined"
"2683","San Augustine County","Government ","2021-08-01","100 W Columbia St","San Augustine","TX","75972","-94.10941935","31.53033916","0","undefined"
"2684","San Saba County","Government ","2021-09-01","500 E Wallace Street","San Saba","TX","76877","-98.71698698","31.19581904","0","undefined"
"2685","Shackleford County","Government ","2021-10-01","100 W 3rd St","Albany","TX","76430","-99.29369856","32.72696283","0","undefined"
"2686","Shelby County","Government ","2021-11-01","200 San Augustine Street","Center","TX","75935","-94.18168217","31.79310747","0","undefined"
"2687","Stephens County","Government ","2024-03-11","101 S 11th Street","Duncan","OK","73533","-97.96157743","34.5005427","0","undefined"
"2688","Stonewall County","Government ","2025-12-01","100 E Main St","Aspermont","TX","79502","-100.2309373","33.1500389","0","undefined"
"2689","Throckmorton County","Government ","2021-01-01","100 N Minter Ave","Throckmorton","TX","76483","-99.17729166","33.17865541","0","undefined"
"2690","Tillman County","Government ","2025-02-01","300 N Broadway","Frederick","OK","73542","-98.98002281","34.51132494","0","undefined"
"2691","Tyler County","Government ","2021-03-01","100 W Bluff Street","Woodville","TX","75979","-94.41550022","30.77534367","0","undefined"
"2692","Walker County","Government ","2021-04-01","1100 University Ave","Huntsville","TX","77340","-95.5505436","30.72340173","0","undefined"
"2693","Wharton County","Government ","2021-05-01","100 S Fulton Street","Wharton","TX","77488","-96.10072812","29.31099489","0","undefined"
"2694","Wheeler County","Government ","2021-06-01","401 S Alamo Street","Wheeler","TX","79096","-100.2701802","35.4418692","0","undefined"
"2695","Wichita County","Government ","2022-05-27","900 7th Street","Wichita Falls","TX","76301","-98.49466957","33.91195779","0","undefined"
"2696","Wilbarger County","Government ","2025-07-01","1600 Wilbarger St","Vernon","TX","76384","-99.28252128","34.15277414","0","undefined"
"2697","Wise County","Government ","2025-08-01","200 N Trinity St","Decatur","TX","76234","-97.58645256","33.23505134","0","undefined"
"2698","Young County","Government ","2023-09-01","316 S Main Street","Graham","TX","76450","-98.66714337","33.00179465","0","undefined"
"2699","Anderson County","Government","2020-12-01","703 N Mallard St","Palestine","TX","75801","-95.62734488","31.76623982","0","undefined"
"2717","ACUTAS","Non-Profit","2025-11-20","Cll Bellisima, 00949 Ingenio","Toa Baja","PR","951","-66.22420982","18.44518249","","Teens Teach Tech","undefined"
"2718","ACUTAS","Non-Profit","2025-11-25","Cll Bellisima, 00949 Ingenio","Toa Baja","PR","951","-66.22420982","18.44518249","","Teens Teach Tech","undefined"
"2742","Be by Bailey Lakare","Youth Development Organization","2025-11-20","719 Blaine St","Detroit","MI","48202","-83.0882","42.3791","","Teens Teach Tech","undefined"
"2743","Be by Bailey Lakare","Youth Development Organization","2025-11-25","719 Blaine St","Detroit","MI","48202","-83.0882","42.3791","","Teens Teach Tech","undefined"
"2777","Connected Dallas/DIA","Non-Profit","2025-11-24","4907 Spring Ave","Dallas","TX","75210","-96.73855776","32.77743526","","Teens Teach Tech","undefined"
"2791","Forbes Road Career & Technology Center","School","2025-11-25","607 Beatty Rd","Monroeville","PA","15146","-79.75053483","40.44827288","","Teens Teach Tech","undefined"
"2798","Highland Park HS FBLA ","School Club","2025-11-25","102 N 5th Ave. Highland Park","Highland Park","NJ","8904","-74.4249","40.503","","Teens Teach Tech","undefined"
"2894","Live6 Detroit","Community Center","2025-11-21","7426 W McNichols Rd","Detroit","MI","48221","-83.14576435","42.41715675","","Teens Teach Tech","undefined"
"2895","Live6 Detroit","Community Center","2025-11-29","7426 W McNichols Rd","Detroit","MI","48221","-83.14576435","42.41715675","","Teens Teach Tech","undefined"
"2896","Lone Star FBLA","School Club","2025-11-20","44940 Co Rd 54","Lone Star","CO","80743","-102.8523157","40.35184135","","Teens Teach Tech","undefined"
